subject,word,affricate,rhyme,context,repetition,VOT,intensity,F1,clo_voi,aff_voi
mm,chest,tS,est,stop,2,0.086,63.8,261,none,none
mm,chest,tS,est,vowel,1,0.089,68.4,375,none,none
mm,chin,tS,in,vowel,1,0.06,66.4,364,none,none
mm,chin,tS,in,stop,2,0.081,61.9,329,none,none
mm,chin,tS,in,vowel,2,0.088,65,347,none,none
mm,chin,tS,in,stop,1,0.09,63.5,365,none,none
mm,choke,tS,oke,stop,1,0.075,64,355,none,none
mm,choke,tS,oke,stop,2,0.076,62.2,364,none,none
mm,choke,tS,oke,vowel,2,0.084,61,312,none,none
mm,choke,tS,oke,vowel,1,0.097,64.5,395,none,none
mm,chunk,tS,unk,vowel,1,0.073,69.2,334,none,none
mm,chunk,tS,unk,stop,2,0.073,61.1,340,none,none
mm,chunk,tS,unk,vowel,2,0.088,62.8,364,none,none
mm,chunk,tS,unk,stop,1,0.1,62.8,395,none,none
mm,gin,dZ,in,stop,2,0.05,59.7,312,none,none
mm,gin,dZ,in,stop,1,0.057,61.6,334,none,none
mm,gin,dZ,in,vowel,2,0.068,59.3,381,none,none
mm,gin,dZ,in,vowel,1,0.072,67.2,313,none,none
mm,jane,dZ,ain,stop,2,0.056,59.8,364,none,none
mm,jane,dZ,ain,stop,1,0.057,60.3,390,none,none
mm,jane,dZ,ain,vowel,1,0.059,69.8,354,none,none
mm,jane,dZ,ain,vowel,2,0.06,62.4,415,none,none
mm,jar,dZ,ar,vowel,1,0.047,65.6,364,none,none
mm,jar,dZ,ar,stop,2,0.051,59.2,312,none,none
mm,jar,dZ,ar,stop,1,0.053,60.6,354,none,none
mm,jar,dZ,ar,vowel,2,0.054,62.7,364,none,none
mm,jeer,dZ,eer,stop,2,0.055,58.9,398,none,none
mm,jeer,dZ,eer,stop,1,0.056,60.2,335,none,none
mm,jeer,dZ,eer,vowel,2,0.065,56.7,398,none,none
mm,jeer,dZ,eer,vowel,1,0.067,60.4,329,none,none
mm,jest,dZ,est,stop,1,0.048,62,363,none,none
mm,jest,dZ,est,stop,2,0.057,62.1,415,none,none
mm,jest,dZ,est,vowel,2,0.057,63.1,381,none,none
mm,jest,dZ,est,vowel,1,0.069,69.2,354,none,none
mm,joke,dZ,oke,stop,2,0.044,57.4,415,none,none
mm,joke,dZ,oke,vowel,1,0.046,60.9,346,none,none
mm,joke,dZ,oke,vowel,2,0.049,60.7,364,none,none
mm,joke,dZ,oke,stop,1,0.055,59.2,390,none,none
mm,junk,dZ,unk,stop,1,0.04,64.3,390,none,none
mm,junk,dZ,unk,stop,2,0.042,61,364,none,none
mm,junk,dZ,unk,vowel,2,0.044,61,329,none,none
mm,junk,dZ,unk,vowel,1,0.048,62.2,398,none,none
my,chain,tS,ain,stop,2,0.104778,61.1,700.7,none,part
my,chain,tS,ain,vowel,2,0.108234,60.62,720,none,part
my,chain,tS,ain,stop,1,0.108927,65.64,720,none,part
my,chain,tS,ain,vowel,1,0.121745,57.35,565.3,full,part
my,char,tS,ar,stop,2,0.078302,62.8,816.3,none,none
my,char,tS,ar,vowel,1,0.083947,59.98,816.7,full,part
my,char,tS,ar,vowel,2,0.103956,62.33,874.8,none,part
my,char,tS,ar,stop,1,0.122951,62.09,855.4,part,part
my,cheer,tS,eer,stop,2,0.084082,60.73,429.9,none,part
my,cheer,tS,eer,vowel,2,0.123348,62.42,449.2,none,none
my,cheer,tS,eer,vowel,1,0.146494,59.99,391.2,full,part
my,cheer,tS,eer,stop,1,0.169198,59.26,429.9,part,part
my,chest,tS,est,stop,2,0.088895,60.07,797.4,none,part
my,chest,tS,est,vowel,2,0.094927,62.29,758.7,none,part
my,chest,tS,est,stop,1,0.098774,59.74,778,part,part
my,chest,tS,est,vowel,1,0.101773,60.96,816.7,none,part
my,chin,tS,in,vowel,2,0.094586,60.34,526.6,none,part
my,chin,tS,in,stop,2,0.107567,66.32,526.6,none,none
my,chin,tS,in,vowel,1,0.114522,61.66,642.7,part,none
my,chin,tS,in,stop,1,0.125816,61.99,642.7,part,part
my,choke,tS,oke,stop,2,0.085353,64.55,656.3,none,part
my,choke,tS,oke,stop,1,0.085383,59.52,584.6,none,part
my,choke,tS,oke,vowel,2,0.104292,63.54,565.3,none,part
my,choke,tS,oke,vowel,1,0.125895,59.93,565.3,full,part
my,chunk,tS,unk,vowel,2,0.089705,64.85,797.4,part,part
my,chunk,tS,unk,stop,2,0.095313,62.09,836.1,none,part
my,chunk,tS,unk,stop,1,0.110277,63.09,836.1,part,none
my,chunk,tS,unk,vowel,1,0.119413,61.4,836.1,part,part
my,gin,dZ,in,vowel,2,0.042792,59.24,410.5,full,full
my,gin,dZ,in,stop,2,0.051118,58.18,487.9,full,part
my,gin,dZ,in,vowel,1,0.067381,58.76,487.9,full,full
my,gin,dZ,in,stop,1,0.074873,58.6,468.6,part,part
my,jane,dZ,ain,stop,2,0.04374,56.46,429.9,full,none
my,jane,dZ,ain,vowel,2,0.046011,57.93,449.2,part,full
my,jane,dZ,ain,vowel,1,0.048618,55.39,446.2,full,full
my,jane,dZ,ain,stop,1,0.070382,57.73,507.3,part,part
my,jar,dZ,ar,stop,2,0.035059,59.71,468.6,part,part
my,jar,dZ,ar,vowel,2,0.041133,58.48,468.6,part,part
my,jar,dZ,ar,stop,1,0.062516,61.29,468.6,full,part
my,jar,dZ,ar,vowel,1,0.071402,54.62,623.3,full,part
my,jeer,dZ,eer,vowel,1,0.050443,53.55,333.2,full,part
my,jeer,dZ,eer,vowel,2,0.050924,55.52,429.9,full,full
my,jeer,dZ,eer,stop,2,0.066998,59.44,391.2,full,full
my,jeer,dZ,eer,stop,1,0.078646,59.95,371.9,full,part
my,jest,dZ,est,vowel,2,0.040887,55.83,507.3,full,part
my,jest,dZ,est,vowel,1,0.044608,58.49,584.6,full,full
my,jest,dZ,est,stop,2,0.050753,59.42,526.6,part,part
my,jest,dZ,est,stop,1,0.058519,58.97,565.3,part,part
my,joke,dZ,oke,vowel,2,0.038475,57.73,487.9,full,part
my,joke,dZ,oke,vowel,1,0.049633,58.29,449.2,full,part
my,joke,dZ,oke,stop,2,0.05063,61.47,526.6,full,part
my,joke,dZ,oke,stop,1,0.095356,55.71,526.6,part,part
my,junk,dZ,unk,vowel,2,0.043458,61.72,526.6,part,part
my,junk,dZ,unk,vowel,1,0.046979,58.25,584.6,full,full
my,junk,dZ,unk,stop,2,0.049291,57.83,545.9,part,part
my,junk,dZ,unk,stop,1,0.079019,56.77,536.6,full,part
vp,chain,tS,ain,stop,2,0.127,70.71,720,none,none
vp,chain,tS,ain,stop,1,0.131,69.59,647.16,none,none
vp,chain,tS,ain,vowel,2,0.134,70.15,713.27,part,none
vp,chain,tS,ain,vowel,1,0.156,69.59,707.68,part,none
vp,char,tS,ar,stop,2,0.123,70.74,816.17,none,none
vp,char,tS,ar,vowel,2,0.126,69.97,782.11,part,none
vp,char,tS,ar,stop,1,0.129,68.92,767.84,none,none
vp,char,tS,ar,vowel,1,0.133,68.97,795.83,part,none
vp,cheer,tS,eer,stop,2,0.124,71.76,413.01,none,none
vp,cheer,tS,eer,vowel,1,0.16,72.98,416.19,part,none
vp,cheer,tS,eer,stop,1,0.16,73.04,417.53,none,none
vp,cheer,tS,eer,vowel,2,0.166,71.26,398.43,part,none
vp,chest,tS,est,stop,2,0.104,69.59,817.28,none,none
vp,chest,tS,est,vowel,2,0.107,70.53,726.66,part,none
vp,chest,tS,est,stop,1,0.109,70.74,787.04,none,none
vp,chest,tS,est,vowel,1,0.125,70.25,807.7,part,none
vp,chin,tS,in,stop,2,0.115,72.94,520.71,none,none
vp,chin,tS,in,stop,1,0.123,73.54,453.46,none,none
vp,chin,tS,in,vowel,1,0.163,72.77,671.17,part,none
vp,chin,tS,in,vowel,2,0.177,72.73,646.84,part,none
vp,choke,tS,oke,stop,1,0.112,70.26,567.26,none,none
vp,choke,tS,oke,vowel,1,0.13,68.05,517.07,part,none
vp,choke,tS,oke,vowel,2,0.133,70.4,594.75,part,none
vp,choke,tS,oke,stop,2,0.133,70.07,599.07,none,none
vp,chunk,tS,unk,stop,1,0.093,68.02,844.22,none,none
vp,chunk,tS,unk,vowel,1,0.109,71.68,796.65,part,none
vp,chunk,tS,unk,stop,2,0.109,70.31,842.03,none,none
vp,chunk,tS,unk,vowel,2,0.145,72.7,853.05,part,none
vp,gin,dZ,in,stop,1,0.069,69.7,396.01,none,none
vp,gin,dZ,in,stop,2,0.071,66.88,402.1,none,none
vp,gin,dZ,in,vowel,1,0.074,70.18,419.67,part,none
vp,gin,dZ,in,vowel,2,0.093,68.02,402.06,part,none
vp,jane,dZ,ain,vowel,2,0.065,66.76,393.52,part,none
vp,jane,dZ,ain,stop,2,0.07,75.31,411.76,none,none
